Year, Brown, Columbia, Cornell, Dartmouth, Harvard, Penn, Princeton, Yale
2026 ,0,0,0,0,0,0,0,0
2025,5.4,3.7,10.7,6.2,3.4,5.7,4.0, 4.6
2024, 6.9,6.7,10.7,8.8,4.9,8.1,5.6,6.5
2023, 6.6,5.1,10.6,7.9,4.5,7.4,5.8,5.9
2022, 7.2,5.5,10.3,8.7,4.6,8.4,5.5,6.3
2021, 8.3,5.8,12.5,10.4,5.2,9.2,6.1,6.9
2020,9.0,6.0,14.1,10.5,5.2,9.4,6.5,6.3
2019, 8.6,6.1,14.9,10.3,5.3,9.9,7.0,6.5
2018, 8.6,7.0,14.0,11.5,5.9,9.9,7.3,6.3
2017, 9.2,6.9,15.2,10.0,5.8,12.1,7.3,6.7
2016, 9.6,7.4,16.2,9.4,5.9,12.3,7.9,6.8
2015, 8.7, 6.9,18,9.7,6.2,12.3,8.4,7.4
2014, 9.3,9.2,16.7, 11.5, 6.9, 14.2, 8.2, 7.5
2013, 10.8,9.8, 17.4, 12, 7, 17.1, 9.8, 7.5
2012, 13.3,10.0,22.4,13.2,7.1,16.4,9.3,8.3
2011, 13.5,10.4,20.5,15.3,9, 15.9, 9.5, 9.6
2010, 13.8,11.4,24.7,15.4,9.3,17.7,10.2,8.6
2009, 14.6,12.4,26.1,16.9,9.1,20.9,10.9,9.7
2008, 15.8, 12.8, 28.7, 18.3, 10.3, 21, 11.9, 9.9
2007, 14.9, 12, 30.9, 17.7, 9.8, 20.5, 10, 11.4
2006, 16.7,11.6,24.3,20,10.5,21.1,11.7,13.5
